company,valuation,date_joined,year_joined,industry,city,country,continent,year_founded,funding,select_investors
Tubatu.com,2000000000,09/03/2015,2015,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,216000000,"Sequoia Capital China, Matrix Partners China, 58.com"
Ximalaya FM,2000000000,22/09/2017,2017,Mobile & telecommunications,Shanghai,China,Asia,2012,71000000,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management"
HEYTEA,2000000000,01/07/2019,2019,Other,Shenzhen,China,Asia,2012,594000000,"Sequoia Capital China, Tencent Investment, BA Capital"
BGL Group,2000000000,24/11/2017,2017,Fintech,Peterborough,United Kingdom,Europe,1992,696000000,CPP Investment Board
Claroty,2000000000,17/06/2021,2021,Cybersecurity,New York,United States,North America,2015,640000000,"Bessemer Venture Partners, MoreVC, Team8"
Improbable,2000000000,11/05/2017,2017,Other,London,United Kingdom,Europe,2012,754000000,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
InMobi,2000000000,02/12/2014,2014,Mobile & telecommunications,Bengaluru,India,Asia,2007,221000000,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
MindMaze,2000000000,28/01/2016,2016,Health,Lausanne,Switzerland,Europe,2012,340000000,Hinduja Group
Ninja Van,2000000000,27/09/2021,2021,"Supply chain, logistics, & delivery",,Singapore,Asia,2014,975000000,"B Capital Group, Monk''s Hill Ventures, Dynamic Parcel Distribution"
Pantheon Systems,2000000000,13/07/2021,2021,Internet software & services,San Francisco,United States,North America,2010,200000000,"Foundry Group, Scale Venture Partners, SoftBank Group"
SellerX,2000000000,09/12/2021,2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,766000000,"Cherry Ventures, Felix Capital, 83North"
AppDirect,2000000000,07/10/2015,2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2009,431000000,"Mithril, iNovia Capital, Foundry Group"
BrewDog,2000000000,10/04/2017,2017,Consumer & retail,Aberdeen,United Kingdom,Europe,2007,233000000,"TSG Consumer Partners, Crowdcube"
Enflame,2000000000,05/01/2021,2021,Hardware,Shanghai,China,Asia,2018,472000000,"Tencent Holdings, Delta Capital, Redpoint Ventures China"
Tradeshift,2000000000,30/05/2018,2018,Fintech,San Francisco,United States,North America,2009,861000000,"Notion Capital, Scentan Ventures, Kite Ventures"
HeartFlow,2000000000,04/12/2017,2017,Health,Redwood City,United States,North America,2007,568000000,"BlueCross BlueShield Venture Partners, US Venture Partners"
Extend,2000000000,18/05/2021,2021,Fintech,San Francisco,United States,North America,2004,320000000,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures"
Airbyte,2000000000,17/12/2021,2021,Internet software & services,San Francisco,United States,North America,2020,181000000,"Accel, Benchmark, SV Angel"
Andela,2000000000,29/09/2021,2021,Internet software & services,New York,United States,North America,2014,381000000,"Spark Capital, Google Ventures, CRE Venture Capital"
Ascend Money,2000000000,27/09/2021,2021,Fintech,Bangkok,Thailand,Asia,2013,150000000,"Ant Group, Charoen Pokphand Group, Bow Wave Capital"
Athelas,2000000000,31/01/2022,2022,Health,Mountain View,United States,North America,2016,150000000,"Sequoia Capital, General Catalyst, Human Capital"
Built,2000000000,30/09/2021,2021,Internet software & services,Nashville,United States,North America,2015,289000000,"Nyca Partners, Index Ventures, Technology Crossover Ventures"
candy.com,2000000000,21/10/2021,2021,Fintech,New York,United States,North America,2021,100000000,"Insight Partners, Softbank Group, Connect Ventures"
Cognite,2000000000,19/05/2021,2021,Data management & analytics,Lysaker,Norway,Europe,2016,225000000,"Technology Crossover Ventures, Accel, Aker"
CoinList,2000000000,15/10/2021,2021,Fintech,San Francisco,United States,North America,2017,119000000,"Accomplice, Polychain Capital, GoldenTree Asset Management"
Collective Health,2000000000,17/06/2019,2019,Fintech,San Francisco,United States,North America,2013,719000000,"New Enterprise Associates, Founders Fund, Google Ventures"
Culture Amp,2000000000,29/07/2021,2021,Internet software & services,Richmond,Australia,Oceania,2011,257000000,"Felicis Ventures, Index Ventures, Blackbird Ventures"
Devo,2000000000,26/10/2021,2021,Data management & analytics,Cambridge,United States,North America,2011,381000000,"Insight Partners, Kibo Ventures, Bessemer Venture Partners"
ElasticRun,2000000000,07/02/2022,2022,"Supply chain, logistics, & delivery",Pune,India,Asia,2016,435000000,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures"
Gett,2000000000,24/05/2016,2016,Auto & transportation,London,United Kingdom,Europe,2010,828000000,"Volkswagen, Access Industries, Vostok New Ventures"
ID.me,2000000000,19/03/2021,2021,Cybersecurity,McLean,United States,North America,2010,142000000,"Moonshots Capital, BoxGroup, Blu Venture Investors"
impact.com,2000000000,13/07/2021,2021,Internet software & services,Santa Barbara,United States,North America,2008,261000000,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners"
Ledger,2000000000,10/06/2021,2021,Hardware,Paris,France,Europe,2014,466000000,"Digital Currency Group, Draper Esprit, Korelya Capital"
Lusha,2000000000,10/11/2021,2021,Internet software & services,New York,United States,North America,2016,245000000,"PSG, ION Crossover Partners"
Matillion,2000000000,15/09/2021,2021,Data management & analytics,Altrincham,United Kingdom,Europe,2011,310000000,"Scale Venture Partners, Sapphire Ventures, Battery Ventures"
MOLOCO,2000000000,29/04/2021,2021,Artificial intelligence,Redwood City,United States,North America,2013,192000000,"Smilegate Investment, DSC Investments, KTB Ventures"
Mu Sigma,2000000000,07/02/2013,2013,Data management & analytics,Northbrook,United States,North America,2004,211000000,"Sequoia Capital, General Atlantic"
Next Silicon,2000000000,14/06/2021,2021,Hardware,Tel Aviv,Israel,Asia,2018,203000000,"Amiti Ventures, Playground Global, Aleph"
Olist,2000000000,15/12/2021,2021,E-commerce & direct-to-consumer,Curitiba,Brazil,South America,2015,320000000,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund"
Pacaso,2000000000,24/03/2021,2021,Fintech,Cincinnati,United States,North America,2020,217000000,"Global Founders Capital, Shea Ventures, Greycroft"
Paradox,2000000000,27/12/2021,2021,Internet software & services,Scottsdale,United States,North America,2016,253000000,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures"
Persona,2000000000,15/09/2021,2021,Cybersecurity,San Francisco,United States,North America,2018,218000000,"Coatue Management, Index Ventures, Founders Fund"
SmartRecruiters,2000000000,20/07/2021,2021,Internet software & services,San Francisco,United States,North America,2010,225000000,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners"
Snapdocs,2000000000,25/05/2021,2021,Fintech,San Francisco,United States,North America,2012,253000000,"Sequoia Capital, Y Combinator, F-Prime Capital"
Solugen,2000000000,10/09/2021,2021,Other,Houston,United States,North America,2016,435000000,"Fifty Years Fund, Refactor Capital, Temasek"
StoreDot,2000000000,04/01/2022,2022,Other,Herzliya,Israel,Asia,2012,190000000,"Samsung Ventures, SingulariTeam, BP Ventures"
Strava,2000000000,16/11/2020,2020,Internet software & services,San Francisco,United States,North America,2009,152000000,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital"
Temporal,2000000000,16/02/2022,2022,Internet software & services,Bellevue,United States,North America,2019,129000000,"Amplify Partners, Addition, Madrona Venture Group"
TuJia,2000000000,17/06/2015,2015,Travel,Beijing,China,Asia,2011,755000000,"GGV Capital, QiMing Venture Partnersl"
Uplight,2000000000,03/03/2021,2021,Other,Boulder,United States,North America,2019,0,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners"
Veho,2000000000,21/12/2021,2021,"Supply chain, logistics, & delivery",Boulder,United States,North America,2016,299000000,"General Catalyst, Origin Ventures, Fontinalis Partners"
Veriff,2000000000,26/01/2022,2022,Artificial intelligence,Tallinn,Estonia,Europe,2015,177000000,"Accel, Institutional Venture Partners, Tiger Global Management"
Whatnot,2000000000,16/09/2021,2021,E-commerce & direct-to-consumer,Marina del Rey,United States,North America,2019,225000000,"Y Combinator, Andreessen Horowitz, Wonder Ventures"
Zenoti,2000000000,15/12/2020,2020,Internet software & services,Bellevue,United States,North America,2010,331000000,"Norwest Venture Partners, Accel, Tiger Global Management"
Zeta,2000000000,24/05/2021,2021,Fintech,San Francisco,United States,North America,2015,340000000,"Sodexo Ventures, SoftBank Group"
Loom,2000000000,20/05/2021,2021,Internet software & services,San Francisco,United States,North America,2016,204000000,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst"
Mobile Premier League,2000000000,15/09/2021,2021,Internet software & services,Bengaluru,India,Asia,2018,376000000,"Sequoia Capital India, RTP Global, Go-Ventures"
Uala,2000000000,13/08/2021,2021,Fintech,Buenos Aires,Argentina,South America,2017,544000000,"Soros Fund Management, Ribbit Capital, Monashees+"
Wenheyou,2000000000,17/04/2021,2021,Other,Hunan,China,Asia,2013,90000000,"Sequoia Capital China, Warburg Pincus, IDG Capital"
Star Charge,2000000000,19/05/2021,2021,Auto & transportation,Changzhou,China,Asia,2014,125000000,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
ABL Space Systems,2000000000,25/03/2021,2021,Other,El Segundo,United States,North America,2017,419000000,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment"
Afiniti,2000000000,14/04/2017,2017,Artificial intelligence,Hamilton,Bermuda,North America,2006,120000000,GAM Holding
ASAPP,2000000000,19/05/2021,2021,Artificial intelligence,New York,United States,North America,2014,380000000,"March Capital Partners, HOF Capital, Emergence Capital Partners"
BitSight Technologies,2000000000,13/09/2021,2021,Cybersecurity,Boston,United States,North America,2013,401000000,"Menlo Ventures, GGV Capital, Flybridge Capital Partners"
Cao Cao Mobility,2000000000,17/01/2018,2018,Auto & transportation,Hangzhou,China,Asia,2015,744000000,"People Electrical Appliance Group China, Zhongrong International Trust"
Capitolis,2000000000,22/03/2022,2022,Fintech,New York,United States,North America,2017,282000000,"Sequoia Capital, Index Ventures, S Capital"
Carbon,2000000000,20/08/2015,2015,Hardware,Redwood City,United States,North America,2013,682000000,"Google Ventures, Sequoia Capital, Wakefield Group"
Clio,2000000000,27/04/2021,2021,Internet software & services,Burnaby,Canada,North America,2008,386000000,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures"
Exabeam,2000000000,01/06/2021,2021,Cybersecurity,Foster City,United States,North America,2013,390000000,"Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners"
ezCater,2000000000,02/04/2019,2019,"Supply chain, logistics, & delivery",Boston,United States,North America,2007,421000000,"Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group"
HomeLight,2000000000,02/09/2021,2021,Fintech,San Francisco,United States,North America,2012,219000000,"Zeev Ventures, Menlo Ventures,Crosslink Capital"
HoneyBook,2000000000,04/05/2021,2021,Internet software & services,San Francisco,United States,North America,2013,498000000,"Norwest Venture Partners, Hillsven Capital, Aleph"
Infinidat,2000000000,29/04/2015,2015,Hardware,Waltham,United States,North America,2011,325000000,"TPG Growth, Goldman Sachs"
Mercury,2000000000,03/07/2021,2021,Fintech,San Francisco,United States,North America,2019,152000000,"Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures"
Paxos,2000000000,29/04/2021,2021,Fintech,New York,United States,North America,2012,538000000,"Liberty City Ventures, RRE Ventures, Mithril Capital Management"
SafetyCulture,2000000000,03/05/2021,2021,Internet software & services,Sydney,Australia,Oceania,2004,222000000,"Blackbird Ventures, IndexVentures, Tiger Global Management"
SmartHR,2000000000,08/06/2021,2021,Fintech,Tokyo,Japan,Asia,2013,190000000,"BEENEXT, World Innovation Lab, Light Street Capital"
Tonal,2000000000,31/03/2021,2021,E-commerce & direct-to-consumer,San Francisco,United States,North America,2015,450000000,"Mayfield Fund, Shasta Ventures, L Catterton"
Truepill,2000000000,27/10/2021,2021,Health,Hayward,United States,North America,2016,255000000,"Initialized Capital, Sound Ventures, TI Platform Management"
Unite Us,2000000000,16/03/2021,2021,Health,New York,United States,North America,2014,195000000,"Insight Partners, Sequoia Capital, Index Ventures"
Verkada,2000000000,29/01/2020,2020,Cybersecurity,San Mateo,United States,North America,2016,139000000,"next47, First Round Capital, Sequoia Capital"
Wayflyer,2000000000,01/02/2022,2022,Fintech,Dublin,Ireland,Europe,2019,236000000,"QED Investors, DST Global, Left Lane Capital"
Zhubajie,2000000000,16/06/2015,2015,Internet software & services,Chongqing,China,Asia,2006,445000000,"Cybernaut Growth Fund, IDG Capital"
Transcarent,2000000000,11/01/2022,2022,Health,San Francisco,United States,North America,2020,298000000,"Alta Partners, General Catalyst, Jove Equity Partners"
Trader Interactive,2000000000,12/05/2021,2021,Other,Norfolk,United States,North America,2017,624000000,Carsales
Glossier,2000000000,19/03/2019,2019,Consumer & retail,New York,United States,North America,2014,266000000,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital"
Hibob,2000000000,12/10/2021,2021,Internet software & services,Tel Aviv,Israel,Asia,2015,274000000,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures"
Jobandtalent,2000000000,01/12/2021,2021,Internet software & services,Madrid,Spain,Europe,2009,902000000,"Kibo Ventures, SoftBank Group, Atomico"
Optimism,2000000000,17/03/2022,2022,Internet software & services,San Francisco,United States,North America,2019,179000000,"Paradigm, Huobi Ventures, Andreessen Horowitz"
solarisBank,2000000000,13/07/2021,2021,Fintech,Berlin,Germany,Europe,2016,403000000,"Yabeo Capital, SBI Investment, Vulcan Capital"
WEMAKEPRICE,2000000000,09/09/2015,2015,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2009,397000000,"IMM Investment, NXC"
Alan,2000000000,19/04/2021,2021,Fintech,Paris,France,Europe,2016,364000000,"Index Ventures, Temasek, Portag3 Ventures"
Biren Technology,2000000000,18/08/2020,2020,Hardware,Shanghai,China,Asia,2019,285000000,"V FUND, IDG Capital, Green Pine Capital Partners"
Voodoo,2000000000,17/08/2020,2020,Other,Paris,France,Europe,2013,517000000,"Tencent Holdings, Goldman Sachs"
Carsome,2000000000,12/07/2021,2021,E-commerce & direct-to-consumer,Selangor,Malaysia,Asia,2015,577000000,"Gobi Partners, 500 Startups, Ondine Capital"
CircleCI,2000000000,11/05/2021,2021,Internet software & services,San Francisco,United States,North America,2011,315000000,"Threshold Ventures, Baseline Ventures, Harrison Metal"
DealShare,2000000000,27/01/2022,2022,E-commerce & direct-to-consumer,Bengaluru,India,Asia,2018,612000000,"Alpha Wave Global, Matrix Partners India, Tiger Global Management"
DispatchHealth,2000000000,03/03/2021,2021,Health,Denver,United States,North America,2013,403000000,"Alta Partners, Questa Capital, Echo Health Venturesl"
Dragos,2000000000,28/10/2021,2021,Cybersecurity,Hanover,United States,North America,2016,358000000,"DataTribe, Energy Impact Partners, AllegisCyber Capital"
Gousto,2000000000,03/11/2020,2020,"Supply chain, logistics, & delivery",London,United Kingdom,Europe,2012,311000000,"MMC Ventures, BGF Ventures, Unilever Ventures"
H2O.ai,2000000000,07/11/2021,2021,Artificial intelligence,Mountain View,United States,North America,2011,251000000,"Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners"
Harness,2000000000,14/01/2021,2021,Artificial intelligence,San Francisco,United States,North America,2016,195000000,"Menlo Ventures, Alkeon Capital Management, Citi Ventures"
Harry's,2000000000,16/02/2018,2018,Consumer & retail,New York,United States,North America,2013,792000000,"Thrive Capital, Tiger Global Management, Temasek"
PAX,2000000000,22/10/2018,2018,Consumer & retail,San Francisco,United States,North America,2007,542000000,"Tao Capital Partners, Global Asset Capital, Tiger Global Management"
Productboard,2000000000,02/02/2022,2022,Internet software & services,San Francisco,United States,North America,2014,261000000,"Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners"
Reltio,2000000000,04/11/2021,2021,Data management & analytics,Redwood City,United States,North America,2011,237000000,"Crosslink Capital, .406 Ventures, Sapphire Ventures"
Spotter,2000000000,16/02/2022,2022,Fintech,Los Angeles,United States,North America,2019,231000000,"SoftBank Group, Access Industries, Crossbeam Venture Partners"
Vestiaire Collective,2000000000,01/03/2021,2021,E-commerce & direct-to-consumer,Paris,France,Europe,2009,663000000,"Eurazeo, IDInvest Partners, Balderton Capital"
Wave,2000000000,07/09/2021,2021,Fintech,Dakar,Senegal,Africa,2018,200000000,"Stripe, Founders Fund, Partech Partners"
ZenBusiness,2000000000,09/11/2021,2021,Fintech,Austin,United States,North America,2015,275000000,"Greycroft, Lerer Hippeau, Geekdom Fund"
Bowery Farming,2000000000,25/05/2021,2021,Other,New York,United States,North America,2015,497000000,"Temasek, Google Ventures, General Catalyst"
Greenlight,2000000000,24/09/2020,2020,Fintech,Atlanta,United States,North America,2014,557000000,"Relay Ventures, TTV Capital, Canapi Ventures"
KeepTruckin,2000000000,23/04/2019,2019,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,417000000,"Google Ventures, Index Ventures, Scale Venture Partners"
Odoo,2000000000,29/07/2021,2021,Internet software & services,Louvain-la-Neuve,Belgium,Europe,2005,229000000,"Summit Partners, Noshaq, Sofinnova Partners"
Skydance Media,2000000000,11/02/2020,2020,Other,Santa Monica,United States,North America,2010,275000000,"RedBird Capital Partners, CJ ENM, Tencent Holdings"
Uptake,2000000000,27/10/2015,2015,Artificial intelligence,Chicago,United States,North America,2014,218000000,"Revolution, New Enterprise Associates, Caterpillar"
MoMo,2000000000,10/12/2021,2021,Fintech,Ho Chi Minh City,Vietnam,Asia,2013,434000000,"Goodwater Capital, Warburg Pincus, GS Growth"
Algolia,2000000000,28/07/2021,2021,Internet software & services,San Francisco,United States,North America,2012,334000000,"Accel, Alven Capital, Storm Ventures"
Pattern,2000000000,06/10/2021,2021,Internet software & services,Lehi,United States,North America,2013,277000000,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners"
Spinny,2000000000,24/11/2021,2021,E-commerce & direct-to-consumer,Gurugram,India,Asia,2015,509000000,"General Catalyst, Eleation Capital, Avenir Growth Capital"
Trulioo,2000000000,07/06/2021,2021,Cybersecurity,Vancouver,Canada,North America,2011,474000000,"Blumberg Capital, American Express Ventures, BDC Venture Capital"
Zume,2000000000,01/11/2018,2018,Consumer & retail,Mountain View,United States,North America,2015,423000000,"Softbank Group, AME Cloud Ventures, SignalFire"
AIWAYS,2000000000,16/04/2018,2018,Auto & transportation,Shanghai,China,Asia,2017,792000000,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology"
Bitso,2000000000,05/05/2021,2021,Fintech,Mexico City,Mexico,North America,2014,378000000,"Pantera Capital, QED Investors, Coinbase Ventures"
BloomReach,2000000000,23/02/2022,2022,Artificial intelligence,Mountain View,United States,North America,2009,422000000,"Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners"
Current,2000000000,27/04/2021,2021,Fintech,New York,United States,North America,2015,402000000,"Expa, QED Investors, Foundation Capital"
Dialpad,2000000000,06/10/2020,2020,Internet software & services,San Francisco,United States,North America,2011,400000000,"Andreessen Horowitz, Google Ventures, Section 32"
G7 Networks,2000000000,15/02/2022,2022,"Supply chain, logistics, & delivery",Beijing,China,Asia,2006,710000000,"Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners"
Gympass,2000000000,12/06/2019,2019,Internet software & services,New York,United States,North America,2012,525000000,"General Atlantic, SoftBank Group, Atomico"
MUSINSA,2000000000,11/11/2019,2019,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2001,287000000,Sequoia Capital
NuCom Group,2000000000,22/02/2018,2018,Other,Unterfoehring,Germany,Europe,2016,550000000,General Atlantic
Reify Health,2000000000,10/08/2021,2021,Health,Boston,United States,North America,2012,259000000,"Sierra Ventures, Battery Ventures, Asset Management Ventures"
Diamond Foundry,2000000000,29/03/2021,2021,Other,San Francisco,United States,North America,2012,351000000,"Fashion Tech Lab, Fidelity Investments, Vast Ventures"
FullStory,2000000000,04/08/2021,2021,Internet software & services,Atlanta,United States,North America,2014,172000000,"Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group"
Lightricks,2000000000,31/07/2019,2019,Artificial intelligence,Jerusalem,Israel,Asia,2013,305000000,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs"
Opentrons,2000000000,23/09/2021,2021,Hardware,New York,United States,North America,2016,240000000,"SOSV, Khosla Ventures, Lerer Hippeau"
ZocDoc,2000000000,20/08/2015,2015,Health,New York,United States,North America,2007,374000000,"Founders Fund, Khosla Ventures, Goldman Sachs"
Accelerant,2000000000,12/01/2022,2022,Other,Colchester,United Kingdom,Europe,2018,193000000,"Deer Park Road, Altamont Capital Partners, Eldridge"
Huaqin Telecom Technology,2000000000,08/10/2019,2019,Mobile & telecommunications,Shanghai,China,Asia,2005,298000000,"Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital"
Addepar,2000000000,15/06/2021,2021,Fintech,Mountain View,United States,North America,2009,676000000,"8VC, D1 Capital Partners, Sway Ventures"
YITU Technology,2000000000,08/03/2018,2018,Artificial intelligence,Shanghai,China,Asia,2012,401000000,"Sequoia Capital China, Banyan Capital"
CloudWalk,2000000000,08/09/2021,2021,Fintech,Sao Paulo,Brazil,South America,2015,345000000,"Plug and Play Ventures, Valor Capital Group, DST Global"
Retool,2000000000,22/12/2021,2021,Internet software & services,San Francisco,United States,North America,2000,96000000,Sequoia Capital
Volocopter,2000000000,04/03/2022,2022,Auto & transportation,Bruchsal,Germany,Europe,2011,599000000,"btov Partners, Geely, Intel Capital"
Acorns,2000000000,09/03/2022,2022,Fintech,Irvine,United States,North America,2012,507000000,"e.ventures, Bain Capital Ventures, Greycroft"
Aledade,2000000000,19/01/2021,2021,Health,Bethesda,United States,North America,2014,295000000,"Venrock, CVF Capital Partners, ARCH Venture Partners"
CoinSwitch Kuber,2000000000,06/10/2021,2021,Fintech,Bangalore,India,Asia,2017,301000000,"Tiger Global Management, Sequoia Capital India, Ribbit Capital"
Eightfold.ai,2000000000,27/10/2020,2020,Internet software & services,Santa Clara,United States,North America,2016,397000000,"Foundation Capital, Institutional Venture Partners, General Catalyst"
FirstCry,2000000000,07/02/2020,2020,E-commerce & direct-to-consumer,Pune,India,Asia,2010,441000000,"SoftBank Group, SAIF Partners India, Valiant Capital Partners"
Forto,2000000000,21/06/2021,2021,"Supply chain, logistics, & delivery",Berlin,Germany,Europe,2016,593000000,"Cherry Ventures, Northzone Ventures, Global Founders Capital"
GoCardless,2000000000,08/02/2022,2022,Fintech,London,United Kingdom,Europe,2011,529000000,"Accel, Passion Capital, Balderton Capital"
InVision,2000000000,01/11/2017,2017,Internet software & services,New York,United States,North America,2011,349000000,"FirstMark Capital, Tiger Global Management, ICONIQ Capital"
Jeeves,2000000000,14/03/2022,2022,Fintech,Orlando,United States,North America,2019,268000000,"Tencent Holdings, CRV, Clocktower Technology Ventures"
Medable,2000000000,26/10/2021,2021,Internet software & services,Palo Alto,United States,North America,2013,507000000,"GSR Ventures, Sapphire Ventures, Streamlined Ventures"
Moveworks,2000000000,30/06/2021,2021,Artificial intelligence,Mountain View,United States,North America,2016,305000000,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers"
MX Technologies,2000000000,13/01/2021,2021,Fintech,Lehi,United States,North America,2010,450000000,"Point72 Ventures, Pelion Venture Partners, Commerce Ventures"
PayFit,2000000000,06/01/2022,2022,Fintech,London,United Kingdom,Europe,2016,496000000,"Accel, frst, Kima Ventures"
ReCharge,2000000000,06/05/2021,2021,Fintech,Los Angeles,United States,North America,2017,277000000,"ICONIQ Growth, Bain Capital Ventures, Summit Partners"
Roofstock,2000000000,10/03/2022,2022,Fintech,Oakland,United States,North America,2015,365000000,"Khosla Ventures, Bain Capital Ventures, Lightspeed Venture Partners"
Urban Company,2000000000,27/04/2021,2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2014,371000000,"VY Capital, Accel, Elevation Capital"
Rokt,2000000000,16/12/2021,2021,Internet software & services,New York,United States,North America,2012,487000000,"Square Peg Capital, TDM Growth Partners, Tiger Global Management"
Starling Bank,2000000000,08/03/2021,2021,Fintech,London,United Kingdom,Europe,2014,791000000,"JTC Group, Qatar Investment Authority, Fidelity Investment"
Ankorstore,2000000000,10/01/2022,2022,E-commerce & direct-to-consumer,Paris,France,Europe,2019,422000000,"Global Founders Capital, Aglae Ventures, Alven Capital"
4Paradigm,2000000000,19/12/2018,2018,Artificial intelligence,Beijing,China,Asia,2015,1000000000,"Sequoia Capital China, China Construction Bank, Bank of China"
Advance Intelligence Group,2000000000,23/09/2021,2021,Artificial intelligence,,Singapore,Asia,2016,536000000,"Vision Plus Capital, GSR Ventures, ZhenFund"
Aiven,2000000000,18/10/2021,2021,Internet software & services,Helsinki,Finland,Europe,2016,210000000,"Institutional Venture Partners, Atomico, Earlybird Venture Capital"
Akulaku,2000000000,15/02/2022,2022,E-commerce & direct-to-consumer,Jakarta,Indonesia,Asia,2014,438000000,"DCM Ventures, IDG Capital, Siam Commercial Bank"
Apeel Sciences,2000000000,26/05/2020,2020,Other,Goleta,United States,North America,2012,640000000,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
AppsFlyer,2000000000,21/01/2020,2020,Mobile & telecommunications,San Francisco,United States,North America,2011,293000000,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
Avant,2000000000,17/12/2012,2012,Artificial intelligence,Chicago,United States,North America,2012,658000000,"RRE Ventures, Tiger Global, August Capital"
Aviatrix,2000000000,08/09/2021,2021,Internet software & services,Santa Clara,United States,North America,2014,341000000,"Ignition Partners, Formation 8, CRV"
BlaBlaCar,2000000000,16/09/2015,2015,Auto & transportation,Paris,France,Europe,2006,449000000,"Accel Partners, Index Ventures, Insight Venture Partners"
Black Sesame Technologies,2000000000,22/09/2021,2021,Artificial intelligence,Shanghai,China,Asia,2016,115000000,"Northern Light Venture Capital, Xiaomi, FutureX Capital"
Bunq,2000000000,18/06/2021,2021,Fintech,Amsterdam,Netherlands,Europe,2013,281000000,Undisclosed
Calm,2000000000,06/02/2019,2019,Consumer & retail,San Francisco,United States,North America,2012,218000000,"Insight Venture Partners, TPG Growth, Sound Ventures"
Chipper Cash,2000000000,31/05/2021,2021,Fintech,San Francisco,United States,North America,2017,302000000,"Deciens Capital, Bezos Expeditions, 500 Startups"
Clearco,2000000000,20/04/2021,2021,Fintech,Toronto,Canada,North America,2015,433000000,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners"
ClickHouse,2000000000,28/10/2021,2021,Data management & analytics,Portola Valley,United States,North America,2021,300000000,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital"
Clip,2000000000,10/06/2021,2021,Fintech,Mexico City,Mexico,North America,2012,381000000,"Alta Ventures Mexico, General Atlantic, SoftBank Group"
Cloudinary,2000000000,15/02/2022,2022,Internet software & services,Santa Clara,United States,North America,2011,100000000,"Blackstone, Bessemer Venture Partners"
Deliverr,2000000000,22/11/2021,2021,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2017,456000000,"8VC, Activant Capital, GLP Capital Partners"
Divvy Homes,2000000000,13/08/2021,2021,Fintech,San Francisco,United States,North America,2017,370000000,"Andreessen Horowitz, Caffeinated Capital, SciFi VC"
Dremio,2000000000,06/01/2021,2021,Data management & analytics,Santa Clara,United States,North America,2015,410000000,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners"
Druva,2000000000,20/06/2019,2019,Data management & analytics,Sunnyvale,United States,North America,2007,475000000,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital"
Everlaw,2000000000,10/03/2020,2020,Internet software & services,Oakland,United States,North America,2010,299000000,"K9 Ventures, Menlo Ventures, Andreessen Horowitz"
Exotec,2000000000,17/01/2022,2022,Hardware,Croix,France,Europe,2015,450000000,"Breega Capital, Iris Capital, 360 Capital Partners"
Formlabs,2000000000,01/08/2018,2018,Hardware,Somerville,United States,North America,2011,251000000,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
